created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,Label
2023-10-19 06:02:08+00:00,1714884618456101205,gempar massa yang berkaos ganjar ini malah teriak histeris we love you dukung amin  httpstcoctxcdrour,11,26,93,222,in,2905814730,1714884618456101205,abu_waras,https://twitter.com/abu_waras/status/1714884618456101205,Positif
2023-10-19 05:41:23+00:00,1714879397319303191,kaosnya pendukung ganjar tapi reriak we love you nya sama amin gak bahaya tah bismillahaminfor httpstcozqfcaztj,32,85,227,448,in,312049767,1714879397319303191,UmarSyadatHsb__,https://twitter.com/UmarSyadatHsb__/status/1714879397319303191,Positif
2023-10-19 05:26:18+00:00,1714875598768844904,duh mobil pengawal ganjarmahfud mogok saat berangkat ke kpu httpstcofjscg,35,138,96,256,in,3319260420,1714875598768844904,geloraco,https://twitter.com/geloraco/status/1714875598768844904,Negatif
2023-10-19 05:16:56+00:00,1714873243671392458,ganjar mahfud vs everybohir  ayo jangan serahkan indonesia kepada kelompok bohir httpstcoxzclqpesck,3,23,50,223,in,214159664,1714873243671392458,Paltiwest,https://twitter.com/Paltiwest/status/1714873243671392458,Netral
2023-10-19 05:10:04+00:00,1714871513600733641,ganjar  mahfud vs everybohir  seksi sinoman  ane tetep bagian poto httpstcozfxrnoi,9,52,137,578,in,55200751,1714871513600733641,WagimanDeep212_,https://twitter.com/WagimanDeep212_/status/1714871513600733641,Netral
2023-10-19 04:45:56+00:00,1714865441724936342,habis amin terbitlah gofud alias ganjarmahfud   apa alasannya memilih mahfud md   apa pertimbangannya pak mahfud yakin disandingkan dengan mas ganjar   kita ceritain semuanya di sini   but anyways were looking at u prabowo subianto  httpstcoqtbkngk,4,7,28,147,in,1162545299614662656,1714865441724936342,catchmeupid,https://twitter.com/catchmeupid/status/1714865441724936342,Netral
2023-10-19 04:40:03+00:00,1714863962435793188,cara luar biasa pak ganjar menghargai anak muda indonesia penerus bangsa  dilamar dihargai dididik dan diberi kepercayaan bukan diculik  ganjar mahfud  ganjarmahfudsatset httpstcoijohtpd,3,18,180,534,in,154435354,1714863962435793188,ch_chotimah2,https://twitter.com/ch_chotimah2/status/1714863962435793188,Netral
2023-10-19 04:19:16+00:00,1714858730943332400,bacapres ganjar pranowo didampingi sang istri siti atiqoh supriyanti tiba di tugu proklamasi jakarta    semoga lancar ganjarmahfudsatset httpstcoedlkctr,0,5,38,120,in,1279643013455605760,1714858730943332400,Cintada16,https://twitter.com/Cintada16/status/1714858730943332400,Netral
2023-10-19 04:03:03+00:00,1714854648782442793,opa ulik bingung milih cawapresnya ganjarmahfudsatset   setelah dideklarasikan jadi pasangan caprescawapres ganjar mahfud langsung satset memikirkan sejumlah program seperti yg disampaikan saat deklarasi pagi dan malam  pak ganjar akan fokus pada pembangunan manusia dan httpstcowsvuckbb,6,33,164,372,in,154435354,1714854648782442793,ch_chotimah2,https://twitter.com/ch_chotimah2/status/1714854648782442793,Netral
2023-10-19 03:43:01+00:00,1714849606650257549,saya hiu akun pengguna    dengan ini saya menyatakan dgn semangat yg tinggi tanpa berafiliasi dgn relawan apapun atau kelompok buzzer manapun secara sukarela menyatakan   mendukung pasangan capres amp  cawapres ganjar amp  mahfud   yg sebarisan like  repost  httpstcoqepvuq,3,33,111,296,in,1074974051045523456,1714849606650257549,Penyuka_ombak,https://twitter.com/Penyuka_ombak/status/1714849606650257549,Netral
2023-10-19 03:40:39+00:00,1714849011843432618,hasto kristiyanto sebut gaya kampanye ganjar pranowo unik dan berbeda  sekretaris jenderal sekjen pdi perjuangan hasto kristiyanto yakin model kampanye ganjar tak akan dicontek atau diikuti oleh calon presiden capres lain ia mengaku ganjar akan menampilkan model kampanye httpstcogvuvwxshc,0,10,29,132,in,153407983,1714849011843432618,PDI_Perjuangan,https://twitter.com/PDI_Perjuangan/status/1714849011843432618,Netral
2023-10-19 03:40:29+00:00,1714848971636764683,okay gini aja  karena saya sebagai pengagum bajingan yang membabi buta bagaimana kalo kita bikin ini semakin seru  jika jokowi terbukti campur tangan dgn keputusan mk dan tiba tiba mendukung capres lain selain ganjar atau keluar dari pdip   saya tutup akun  tapi jika,6,55,27,201,in,1394912376814665730,1714848971636764683,BangPakat,https://twitter.com/BangPakat/status/1714848971636764683,Positif
2023-10-19 03:32:35+00:00,1714846980508406170,smrc massa nu lebih melihat sosok capres ketimbang cawapres dominan ke ganjar dan prabowo httpstcoveahtbaz,9,213,27,131,in,71436318,1714846980508406170,KompasTV,https://twitter.com/KompasTV/status/1714846980508406170,Netral
2023-10-19 03:32:08+00:00,1714846867086090521,relawan pendukung ganjar padati tugu proklamasi siap antar ke kpu  httpstcoaaiyis,3,16,41,212,in,45602536,1714846867086090521,GunRomli,https://twitter.com/GunRomli/status/1714846867086090521,Netral
2023-10-19 03:08:37+00:00,1714840951439630592,perhatian    lomba desain kaos ganjar pranowo  mahfud capres dan cawapres    apresiasi rp k tuk masing dipilih  orang pemenang   desain khas anak xland ya   itu pesannya wak    closed klo sudah ada pemenangnya  tegak lurus nkri   httpstcoyidofqtj,2,16,36,119,in,1303615921550835712,1714840951439630592,RaniKancana,https://twitter.com/RaniKancana/status/1714840951439630592,Negatif
2023-10-19 03:03:05+00:00,1714839556670030167,kenapa cuma ganjar mahfud  harusnya juga tanya opa ulik jagoanmu  dia ketum parpol  ganjar hanya anggota parpol mahfud malah non parpol  pendukung opa ulik bodoh,2,18,29,122,in,379288910,1714839556670030167,pengarang_sajak,https://twitter.com/pengarang_sajak/status/1714839556670030167,Netral
2023-10-19 02:24:08+00:00,1714829756057964868,melihat buruk nya kinerja ganjar pranowo sebagai gubernur jawa tengah kemarin   umr jateng tidak manusiawi wadas dan kendeng di dzalimi stunting tinggi kemiskinan tinggi  maka saya putuskan saya ali warga jawa tengah saya  tidak pilih ganjar pranowo   kamu ,6,54,137,462,in,1133311906976952320,1714829756057964868,Catatan_ali7,https://twitter.com/Catatan_ali7/status/1714829756057964868,Netral
2023-10-19 02:22:49+00:00,1714829426058527035,baru saja dideklarasikan pasangan ganjar pranowo dan mahfud md sebagai bakal calon presiden dan wakil presiden  sudah dibanjiri dukungan dari sejumlah elemen masyarakat salah satunya datang dari ikatan keluarga madura ikama  ketua ikama h rawi mengatakan deklarasi httpstcopkbooeyzy,0,12,54,135,in,1226725839099707392,1714829426058527035,aan_muba,https://twitter.com/aan_muba/status/1714829426058527035,Netral
2023-10-19 02:19:31+00:00,1714828594101502081,pasangan capres dan cawapres ganjar mahfud adalah perkawinan sempurna   mahfud md melengkapi ganjar dari sisi integritas  dari sisi integritas mahfud md dikenal sebagai sosok bersih berani dan antikorupsi mahfud md selalu berani menyuarakan kebenaran dalam menyikapi httpstcooeplechz,0,2,41,115,in,382522068,1714828594101502081,_Rizmaya__,https://twitter.com/_Rizmaya__/status/1714828594101502081,Netral
2023-10-19 02:08:59+00:00,1714825941942419607,berjalan seiring mengawal jokowi hingga purna tugas di  mendukung ganjar untuk menang di  saya lakukan seiring amp  bersamaan juga kagum akan kinerja jokowi selama  periode kepemimpinannya adalah kenyataan bagi saya percaya bahwa ganjar mampu amp  pantas untuk httpstcoyajembrmr,0,15,52,225,in,980685208969031680,1714825941942419607,SantorinisSun,https://twitter.com/SantorinisSun/status/1714825941942419607,Netral
